default	directory	󰉋	181;169;133
default	file	󰈔	138;138;138
directory	AppData	󰉌	206;118;136
directory	Applications	󱧺	206;118;136
directory	autoload	󱁽	255;220;185
directory	bin	󱧺	249;240;107
directory	boot	󰴋	249;240;107
directory	build	󱧼	138;138;138
directory	.cache	󰪺	164;153;120
directory	colors	󱁽	255;220;185
directory	compiler	󱁽	255;220;185
directory	.config	󱁿	164;153;120
directory	Desktop	󰚝	206;118;136
directory	dev	󱧼	249;240;107
directory	doc	󱂷	255;177;195
directory	docs	󱂷	255;177;195
directory	Documents	󱧶	206;118;136
directory	Downloads	󰉍	206;118;136
directory	etc	󱁿	249;240;107
directory	Favorites	󱃪	206;118;136
directory	ftdetect	󱁽	255;220;185
directory	ftplugin	󱁽	255;220;185
directory	.git		206;118;136
directory	.github		181;169;133
directory	home	󱂵	249;240;107
directory	indent	󱁽	255;220;185
directory	keymap	󱁽	255;220;185
directory	lang	󱁽	255;220;185
directory	lib	󰲂	249;240;107
directory	Library	󰲂	206;118;136
directory	.local	󰉌	164;153;120
directory	lsp	󱁽	255;220;185
directory	lua	󰉋	164;153;120
directory	media	󱧺	249;240;107
directory	mini.nvim	󰚝	255;177;195
directory	mnt	󰉓	249;240;107
directory	Music	󱍙	206;118;136
directory	Network	󰡰	206;118;136
directory	node_modules		255;220;185
directory	nvim	󰉋	255;220;185
directory	opt	󰉗	249;240;107
directory	pack	󱁽	255;220;185
directory	parser	󱁽	255;220;185
directory	Pictures	󰉏	206;118;136
directory	plugin	󱁽	255;220;185
directory	proc	󰢬	249;240;107
directory	ProgramData	󰉌	206;118;136
directory	Public	󱧰	206;118;136
directory	queries	󱁽	255;220;185
directory	root	󰷌	249;240;107
directory	rplugin	󱁽	255;220;185
directory	sbin	󱧺	249;240;107
directory	snippets	󱁽	249;240;107
directory	spell	󱁽	255;220;185
directory	src	󰴉	255;177;195
directory	srv	󱋣	249;240;107
directory	syntax	󱁽	255;220;185
directory	System	󱧼	206;118;136
directory	Templates	󱋣	206;118;136
directory	test	󱞊	164;153;120
directory	tests	󱞊	164;153;120
directory	tmp	󰪺	249;240;107
directory	Trash	󱧴	206;118;136
directory	tutor	󱁽	255;220;185
directory	Users	󰉌	206;118;136
directory	usr	󰉌	249;240;107
directory	var	󱋣	249;240;107
directory	Videos	󱞊	206;118;136
directory	.vim	󰉋	255;220;185
directory	Volumes	󰉓	206;118;136
extension	0	󰈔	138;138;138
extension	02	󰈔	138;138;138
extension	04	󰈔	138;138;138
extension	09	󰈔	138;138;138
extension	0_with_llvm-exception	󰈔	138;138;138
extension	11	󰈔	138;138;138
extension	1	󰈔	138;138;138
extension	1+	󰈔	138;138;138
extension	12	󰈔	138;138;138
extension	16	󰈔	138;138;138
extension	1_p3-r1	󰈔	138;138;138
extension	20131220	󰈔	138;138;138
extension	20	󰈔	138;138;138
extension	20260223114259	󰈔	138;138;138
extension	2	󰈔	138;138;138
extension	3	󰈔	138;138;138
extension	3b	󰈔	138;138;138
extension	3gp	󰈫	249;240;107
extension	3-r1	󰈔	138;138;138
extension	4	󰈔	138;138;138
extension	4a-r2	󰈔	138;138;138
extension	5	󰈔	138;138;138
extension	56	󰈔	138;138;138
extension	58	󰈔	138;138;138
extension	60	󰈔	138;138;138
extension	6	󰈔	138;138;138
extension	62	󰈔	138;138;138
extension	6-r2	󰈔	138;138;138
extension	7	󰈔	138;138;138
extension	7z	󰗄	164;153;120
extension	8	󰈔	138;138;138
extension	9	󰈔	138;138;138
extension	997a	󰈔	138;138;138
extension	aac	󰈣	249;240;107
extension	ac	󰈔	138;138;138
extension	acf	󰈔	138;138;138
extension	ad	󰒓	164;153;120
extension	aif	󰈣	164;153;120
extension	aliases	󰈔	138;138;138
extension	am	󰫲	255;220;185
extension	ansi	󰈔	138;138;138
extension	apache	󰈔	138;138;138
extension	asc	󰈔	138;138;138
extension	asi	󰈔	138;138;138
extension	astro		206;118;136
extension	avi	󰈫	138;138;138
extension	baf	󰈔	138;138;138
extension	baj	󰈔	138;138;138
extension	bak	󰈔	138;138;138
extension	baklz4	󰈔	138;138;138
extension	bash		138;138;138
extension	bash-completion	󰈔	138;138;138
extension	bashrc	󰈔	138;138;138
extension	bat	󰯂	255;220;185
extension	bats		138;138;138
extension	bdic	󰈔	138;138;138
extension	bin	󰈔	138;138;138
extension	bmp	󰈟	255;220;185
extension	build	󰈔	138;138;138
extension	bz	󰗄	206;118;136
extension	bz2	󰗄	206;118;136
extension	bz3	󰗄	206;118;136
extension	c	󰙱	164;153;120
extension	cables	󰈔	138;138;138
extension	cache-11	󰈔	138;138;138
extension	cache-12	󰈔	138;138;138
extension	cache	󰈔	138;138;138
extension	cache-9	󰈔	138;138;138
extension	canvas	󰈔	138;138;138
extension	cast	󰈫	255;177;195
extension	catalog	󰈔	138;138;138
extension	cf	󰈔	138;138;138
extension	cff	󰈔	138;138;138
extension	cfg	󰒓	164;153;120
extension	check	󰈔	138;138;138
extension	cjs	󰌞	249;240;107
extension	cmake	󱁤	206;118;136
extension	cnf	󰈔	138;138;138
extension	code-snippets	󰘦	249;240;107
extension	colo	󰈔	138;138;138
extension	colorscheme	󰈔	138;138;138
extension	commitpartial	󰈔	138;138;138
extension	conf	󰒓	138;138;138
extension	conf-2	󰈔	138;138;138
extension	conf2	󰈔	138;138;138
extension	confd	󰈔	138;138;138
extension	confd-2	󰈔	138;138;138
extension	confd-new	󰈔	138;138;138
extension	confd-r1	󰈔	138;138;138
extension	confd-r2	󰈔	138;138;138
extension	confd-r3	󰈔	138;138;138
extension	confd-r4	󰈔	138;138;138
extension	confd-r5	󰈔	138;138;138
extension	config	󰈔	138;138;138
extension	conf-r1	󰈔	138;138;138
extension	conf-r2	󰈔	138;138;138
extension	conf-r3	󰈔	138;138;138
extension	containerfile	󰈔	138;138;138
extension	corn	󰞸	249;240;107
extension	cpp	󰙲	181;169;133
extension	crate	󰈔	138;138;138
extension	cron	󰈔	138;138;138
extension	cron-r1	󰈔	138;138;138
extension	cron-r2	󰈔	138;138;138
extension	css	󰌜	181;169;133
extension	csv		255;220;185
extension	cts	󰛦	181;169;133
extension	d-20080406-r6	󰈔	138;138;138
extension	d-2	󰈔	138;138;138
extension	d		255;220;185
extension	dark	󰈔	138;138;138
extension	dat	󰈔	138;138;138
extension	data	󰈔	138;138;138
extension	db	󰈔	138;138;138
extension	db-journal	󰈔	138;138;138
extension	db-shm	󰈔	138;138;138
extension	db-wal	󰈔	138;138;138
extension	dconf	󰈔	138;138;138
extension	default	󰈔	138;138;138
extension	defaults	󰈔	138;138;138
extension	defs	󰈔	138;138;138
extension	desc	󰫱	164;153;120
extension	desktop	󰍹	255;177;195
extension	d-fprobe-r1	󰈔	138;138;138
extension	diff	󰦓	255;177;195
extension	dirs	󰈔	138;138;138
extension	distro-client	󰈔	138;138;138
extension	distro-server	󰈔	138;138;138
extension	dll	󰈔	138;138;138
extension	d-munge	󰈔	138;138;138
extension	doc	󱎒	181;169;133
extension	docm	󱎒	181;169;133
extension	docx	󱎒	181;169;133
extension	dot	󱎒	181;169;133
extension	dotx	󱎒	181;169;133
extension	d-pciparm	󰈔	138;138;138
extension	d-r1	󰈔	138;138;138
extension	d-r2	󰈔	138;138;138
extension	d-r4	󰈔	138;138;138
extension	d-readahead-list	󰈔	138;138;138
extension	d_sobexsrv	󰈔	138;138;138
extension	dummy	󰈔	138;138;138
extension	dunstrc	󰈔	138;138;138
extension	ebuild		138;138;138
extension	eclass		138;138;138
extension	ejs	󰈔	138;138;138
extension	el		138;138;138
extension	env	󰈔	138;138;138
extension	envd	󰈔	138;138;138
extension	eps		255;177;195
extension	eselect	󰈔	138;138;138
extension	example	󰈔	138;138;138
extension	exe	󰖳	255;177;195
extension	exp	󰫲	138;138;138
extension	exs		255;177;195
extension	fish		138;138;138
extension	flac	󰈣	206;118;136
extension	force	󰈔	138;138;138
extension	frag	󰫴	164;153;120
extension	fw	󰈔	138;138;138
extension	gentoo	󰈔	138;138;138
extension	gentoo-r1	󰈔	138;138;138
extension	gentoo-r3	󰈔	138;138;138
extension	getty	󰈔	138;138;138
extension	ghostty	󰈔	138;138;138
extension	gif	󰵸	181;169;133
extension	gif__1920x1080_crop_argb	󰈔	138;138;138
extension	gitconfig	󰈔	138;138;138
extension	go	󰟓	181;169;133
extension	gob	󰈔	138;138;138
extension	google	󰈔	138;138;138
extension	gpg	󰈔	138;138;138
extension	group	󰈔	138;138;138
extension	gvrpcd	󰈔	138;138;138
extension	gyp	󰫴	255;177;195
extension	gz	󰗄	138;138;138
extension	h	󰫵	255;177;195
extension	history	󰈔	138;138;138
extension	html	󰌝	206;118;136
extension	ico	󰈔	138;138;138
extension	idx	󰈔	138;138;138
extension	in	󰈔	138;138;138
extension	indirect	󰈔	138;138;138
extension	ini	󰯂	181;169;133
extension	init	󰈔	138;138;138
extension	init-2	󰈔	138;138;138
extension	init2	󰈔	138;138;138
extension	initd	󰈔	138;138;138
extension	initd2	󰈔	138;138;138
extension	initd-3	󰈔	138;138;138
extension	initd-new	󰈔	138;138;138
extension	initd-r1	󰈔	138;138;138
extension	initd-r2	󰈔	138;138;138
extension	initd-r3	󰈔	138;138;138
extension	initd-r4	󰈔	138;138;138
extension	initd-r5	󰈔	138;138;138
extension	initd-r6	󰈔	138;138;138
extension	initd-r7	󰈔	138;138;138
extension	initd-r8	󰈔	138;138;138
extension	initd-r9	󰈔	138;138;138
extension	init-r1	󰈔	138;138;138
extension	init-r2	󰈔	138;138;138
extension	init-r3	󰈔	138;138;138
extension	init-r4	󰈔	138;138;138
extension	in-r2	󰈔	138;138;138
extension	install		138;138;138
extension	ipynb	󰠮	206;118;136
extension	itermcolors	󰈔	138;138;138
extension	jpeg	󰈥	206;118;136
extension	jpg	󰈥	206;118;136
extension	js	󰌞	249;240;107
extension	json	󰘦	249;240;107
extension	jsonc	󰘦	249;240;107
extension	jsonl	󰘦	249;240;107
extension	jsonlz4	󰈔	138;138;138
extension	jsx		181;169;133
extension	kdl	󰫸	138;138;138
extension	key	󰈔	138;138;138
extension	lang	󰈔	138;138;138
extension	layout	󰈔	138;138;138
extension	ldb	󰈔	138;138;138
extension	lds	󰈔	138;138;138
extension	light	󰈔	138;138;138
extension	lisp		138;138;138
extension	list	󰈔	138;138;138
extension	local	󰈔	138;138;138
extension	lock	󰈔	138;138;138
extension	log	󰈔	138;138;138
extension	logo	󰈔	138;138;138
extension	logrotate	󰈔	138;138;138
extension	logrotated	󰈔	138;138;138
extension	logrotate-r1	󰈔	138;138;138
extension	logrotate-r2	󰈔	138;138;138
extension	lst		255;177;195
extension	lua	󰢱	181;169;133
extension	luac	󰈔	138;138;138
extension	lz4	󰈔	138;138;138
extension	m4	󰫺	249;240;107
extension	m4a	󰈣	255;177;195
extension	m4v	󰈫	206;118;136
extension	mailscanner	󰈔	138;138;138
extension	manifest	󰈔	138;138;138
extension	map	󰒓	138;138;138
extension	mask	󰈔	138;138;138
extension	md	󰍔	138;138;138
extension	menu	󰈔	138;138;138
extension	metadata	󰈔	138;138;138
extension	mit	󰈔	138;138;138
extension	mjs	󰌞	249;240;107
extension	mkv	󰈫	255;220;185
extension	mod	󰫺	164;153;120
extension	mov	󰈫	164;153;120
extension	mp3	󰈣	181;169;133
extension	mp4	󰈫	181;169;133
extension	mpeg	󰈫	255;177;195
extension	mpg	󰈫	255;177;195
extension	nim		249;240;107
extension	nix	󱄅	181;169;133
extension	node	󰈔	138;138;138
extension	nu		255;177;195
extension	ogg	󰈣	138;138;138
extension	old	󰈔	138;138;138
extension	openrc	󰈔	138;138;138
extension	openrc-r1	󰈔	138;138;138
extension	orig	󰈔	138;138;138
extension	pak	󰈔	138;138;138
extension	pam	󰈔	138;138;138
extension	pamd	󰈔	138;138;138
extension	pamd-pambase	󰈔	138;138;138
extension	pam-include	󰈔	138;138;138
extension	patch	󰦓	255;177;195
extension	pc	󰆼	255;177;195
extension	pdf	󰈦	255;177;195
extension	pem	󰌇	249;240;107
extension	php	󰌟	255;177;195
extension	pl		181;169;133
extension	plugin	󰈔	138;138;138
extension	pma	󰈔	138;138;138
extension	png	󰸭	255;177;195
extension	pps	󱎐	255;177;195
extension	ppsm	󱎐	255;177;195
extension	ppsx	󱎐	255;177;195
extension	ppt	󱎐	255;177;195
extension	pptm	󱎐	255;177;195
extension	pptx	󱎐	255;177;195
extension	presync	󰈔	138;138;138
extension	properties	󰬷	255;220;185
extension	pub	󰈔	138;138;138
extension	purs		138;138;138
extension	py	󰌠	249;240;107
extension	pyc	󰈔	138;138;138
extension	rar	󰗄	255;220;185
extension	rasi	󰫿	206;118;136
extension	rb	󰴭	255;177;195
extension	rc10	󰈔	138;138;138
extension	rc	󰒓	164;153;120
extension	rc6	󰈔	138;138;138
extension	rc7	󰈔	138;138;138
extension	rc8	󰈔	138;138;138
extension	rc-r1	󰈔	138;138;138
extension	rc-r3	󰈔	138;138;138
extension	readme	󰈔	138;138;138
extension	res	󰫿	181;169;133
extension	revision	󰈔	138;138;138
extension	rlib	󰈔	138;138;138
extension	rmeta	󰈔	138;138;138
extension	rock	󰈔	138;138;138
extension	rockspec	󰢱	181;169;133
extension	ron	󱘗	164;153;120
extension	rpm	󰗄	255;177;195
extension	rs	󱘗	206;118;136
extension	rst	󰊄	249;240;107
extension	rules	󰫵	206;118;136
extension	rules-r2	󰈔	138;138;138
extension	sample	󰈔	138;138;138
extension	sbstore	󰈔	138;138;138
extension	schema	󰈔	138;138;138
extension	scm	󰘧	138;138;138
extension	scss	󰟬	255;177;195
extension	service	󰈔	138;138;138
extension	service-4	󰈔	138;138;138
extension	service-r1	󰈔	138;138;138
extension	service-r2	󰈔	138;138;138
extension	service-r3	󰈔	138;138;138
extension	service-r4	󰈔	138;138;138
extension	session	󰈔	138;138;138
extension	sh		138;138;138
extension	sha256	󰈔	138;138;138
extension	sh-r1	󰈔	138;138;138
extension	sit	󰗄	255;177;195
extension	snd	󰈣	255;177;195
extension	so	󰈔	138;138;138
extension	socket	󰈔	138;138;138
extension	sql	󰆼	138;138;138
extension	sqlite	󰈔	138;138;138
extension	sqlite3	󰈔	138;138;138
extension	sqlite-shm	󰈔	138;138;138
extension	sqlite-wal	󰈔	138;138;138
extension	st	󰄚	206;118;136
extension	stamp	󰈔	138;138;138
extension	std	󰈔	138;138;138
extension	stunnel	󰈔	138;138;138
extension	styles	󰈔	138;138;138
extension	sub	󰚩	138;138;138
extension	sublime-project	󰘦	249;240;107
extension	sudo	󰈔	138;138;138
extension	sum	󰫵	255;177;195
extension	svg	󰜡	249;240;107
extension	sway	󰈔	138;138;138
extension	swm	󰈔	138;138;138
extension	swn	󰈔	138;138;138
extension	swo	󰈔	138;138;138
extension	swp	󰈔	138;138;138
extension	sysconfig	󰈔	138;138;138
extension	systemd	󰈔	138;138;138
extension	systemd-r1	󰈔	138;138;138
extension	tag	󰈔	138;138;138
extension	tail	󰈔	138;138;138
extension	tape	󰨛	164;153;120
extension	tar	󰗄	164;153;120
extension	target	󰈔	138;138;138
extension	taskrc	󰈔	138;138;138
extension	template	󰈔	138;138;138
extension	tera	󰬁	181;169;133
extension	test	󰈔	138;138;138
extension	tf	󱁢	164;153;120
extension	tga	󰈔	138;138;138
extension	tgz	󰗄	138;138;138
extension	the	󰈔	138;138;138
extension	theme	󰌟	255;177;195
extension	tif	󰈟	249;240;107
extension	tiff	󰈟	249;240;107
extension	timer	󰈔	138;138;138
extension	tmp-czioge	󰈔	138;138;138
extension	tmpfile	󰈔	138;138;138
extension	tmpfiles	󰈔	138;138;138
extension	tmpfiles-2	󰈔	138;138;138
extension	tmpfilesd	󰈔	138;138;138
extension	tmpfilesd-r2	󰈔	138;138;138
extension	tmpfiles-r1	󰈔	138;138;138
extension	tmpl	󰬁	255;220;185
extension	tmtheme	󰈔	138;138;138
extension	tmux	󰈔	138;138;138
extension	token	󰈔	138;138;138
